from_hall_code,to_hall_code,walk_minutes,is_direct,is_recommended,is_backtrack_heavy,remark
zenghouyi,chu_culture,3,1,1,0,从曾侯乙展区前往楚文化展区较顺路
chu_culture,zenghouyi,3,1,0,0,可回看但通常不作为主线
chu_culture,goujian_sword,2,1,1,0,从楚文化进入越王勾践剑专题较自然
goujian_sword,chu_culture,2,1,0,0,可回到楚文化补看相关内容
chu_culture,bronze,2,1,1,0,从楚文化展区前往青铜器展区动线自然
bronze,chu_culture,2,1,0,0,可反向补看楚文化背景
zenghouyi,bronze,4,1,0,1,可直达但略容易跳过楚文化主线
bronze,goujian_sword,3,1,1,0,青铜器之后进入越王勾践剑专题便于比较兵器工艺
goujian_sword,bronze,3,1,1,0,名剑之后回到更广阔的青铜器脉络较顺畅
bronze,lacquer,3,1,1,0,青铜器后接漆木器较适合完整参观
lacquer,bronze,3,1,0,0,可反向补看金属器物工艺
chu_culture,lacquer,4,1,0,0,可作为补充路线
zenghouyi,goujian_sword,5,1,0,1,可直接跳到名剑专题，但容易损失楚文化铺垫
goujian_sword,lacquer,4,1,0,0,从兵器专题转入漆木器，可形成强烈材质反差
lacquer,chu_culture,4,1,1,0,如果先看生活工艺，再回楚文化补整体语境也较自然
zenghouyi,lacquer,6,1,0,1,可作为极简快速路线，但会跳过中段主要叙事
lacquer,zenghouyi,6,1,0,1,反向回到礼乐起点并不推荐，但可用于补看核心展品
bronze,zenghouyi,4,1,1,0,从更大的青铜谱系回看曾侯乙礼乐器，更容易形成体系理解
goujian_sword,zenghouyi,5,1,0,1,从名剑专题回礼乐展区不算主线，但适合补核心看点
