hall_code,name,code,era,dynasty,category,sub_category,material,craft,usage_desc,short_intro,deep_intro,core_value,watch_points,story_points,detail_points,kid_points,deep_points,historical_value,art_value,cultural_value,shape_desc,pattern_elements,symbolism,style_tags,color_palette,interesting_points,related_people,related_events,related_exhibits_hint,creative_keywords,poster_copy_seed,image_prompt_seed,keywords,is_featured,recommended_priority,recommended_duration_min,image_url
zenghouyi,曾侯乙编钟,bianzhong,战国,战国早期,乐器/礼器,编钟,青铜,分件铸造与组合调音,礼乐演奏与身份象征,它能把先秦礼乐文明从抽象概念变成你能直接感受到的器物形象。,先看整组编钟的层级排列；再看钟体大小变化带来的秩序感；留意它不是单一乐器而是一整套系统。,它常被作为理解曾侯乙展区的入口；看它时可以顺着礼乐、身份和工艺三条线去理解。,先看整组悬挂层级；再看钟体大小与秩序；注意它是一整套系统而不是单件乐器,它常被作为理解曾侯乙展区的入口；可从礼乐、身份和工艺三条线切入；看完它更容易理解其他礼器,值得注意的不只是数量多；整组排列本身就在制造仪式感；不要只把它当成会发声的文物,可以把它想成古人正式场合里的大型音乐系统；不是一件小乐器；而是一整套有分工的声音装置,它的重要性不只在知名度；更在于把礼乐制度、青铜工艺和贵族身份压缩进一组展品里；看完它再看其他礼器更容易建立体系感,它把先秦礼乐制度、等级秩序和权力表达放到一件能被直观看见的器物系统中。,整组编钟在悬挂秩序、比例节奏和器形变化上具有很强的视觉组织感。,它不仅代表声音技术，更代表楚地贵族社会如何用礼乐塑造身份与场域。,成组悬挂、层级分明、大小递进,钟纽、钟体、层架、成组排列,礼乐秩序、等级象征、贵族身份,"礼乐,庄重,秩序感,青铜史诗","青铜绿,古金,深褐",既是乐器也是制度的可视化表达；看点在成组系统；视觉上像一套有节奏的青铜建筑,曾侯乙,先秦礼乐文明,"青铜尊盘,铜鼎,越王勾践剑","编钟,青铜礼乐,秩序感,声音波纹,楚韵",一组编钟，让礼乐文明从抽象制度变成可见的声音秩序。,以曾侯乙编钟为核心元素，突出青铜质感、层级悬挂、礼乐秩序与楚文化气质，适合海报与文创视觉。,"礼乐,编钟,曾侯乙,青铜,声音",1,100,8,https://img.cjyun.org/a/10695/202301/49305c4acb6e8b6b2f4bcdf04097ff0a.jpeg
zenghouyi,青铜尊盘,zunpan,战国,战国早期,礼器,尊盘组合器,青铜,铸造与复合器形,礼仪与宴飨相关器用,它能把抽象的礼仪生活转化成你可以观察的器形与工艺细节。,可以先看尊与盘之间的组合关系；再注意器物整体气势和表面装饰；不要只把它当成普通容器。,它适合和编钟、铜鼎连着看；这样更容易从乐器、酒器、礼器三个角度理解礼乐文明。,先看尊与盘的组合结构；再看整体气势；注意它不是普通容器而是礼仪器具,它适合和编钟、铜鼎连着看；能补足礼乐文明中的器用系统；组合器形背后有等级意味,看点不只是好看；还在于组合器形如何服务使用场景；表面装饰与体量共同制造礼仪氛围,可以把它想成正式礼仪场合里的重要器具；古人不只是做能装东西的器皿；还把身份感做了进去,尊盘能帮助你把礼乐制度中的器物体系看得更完整；和编钟一起出现时；展区的礼仪氛围会更鲜明,它让礼仪生活、宴飨秩序与青铜礼器制度从抽象概念变成可观察的器物结构。,尊与盘的复合器形具有强烈的构成美感，整体气势与细部装饰兼具。,它体现了礼器并非单纯容器，而是身份表达与仪式秩序的一部分。,尊盘组合、体量完整、气势外张,组合器形、口沿、腹部纹饰、盘体承接,礼仪场景、宴飨秩序、身份表达,"礼器,复合器形,庄重,青铜审美","古铜,墨绿,深棕",尊与盘的关系本身就是看点；兼具体量感和细节感；适合与编钟和铜鼎形成礼器三角观察,曾侯乙,战国礼仪生活,"曾侯乙编钟,铜鼎","尊盘,青铜礼器,宴飨,楚风纹饰",一件尊盘，把礼仪、宴飨与青铜气势压进同一组器形里。,以青铜尊盘为主视觉，突出尊盘组合结构、礼仪氛围、青铜纹饰与庄重气质。,"尊盘,礼器,青铜,礼仪",1,92,6,https://img.cjyun.org/a/10695/202301/60743a1577e55244beec5481b9b34cfa.jpeg
chu_culture,楚简,chu_jian,战国,战国中晚期,文字资料,简牍,竹木,书写与编联,记录与传播信息,它能把楚文化从“器物风格”进一步推进到“文字表达与思想记录”的层面。,先看它作为文字载体的整体形态；再想它不是装饰品，而是承载信息的实用品；如果展陈允许，可留意书写感和编联方式。,楚简适合放在楚文化展区里作为承上启下的一件展品；它能把地域文化、制度表达和文字记录联系起来。,先看简牍整体形态；再想它是信息载体而不是装饰品；注意编联和书写感,它在楚文化展区里承担承上启下的作用；能把地域文化与制度表达联系起来；是理解古人如何记录信息的重要入口,它看起来不一定最显眼；但很适合帮助你理解古人如何把知识、命令或记忆留存下来,可以把它想成古人的纸和笔记本合在一起后的成果；不像大器物那样震撼；却更接近日常思考和记录,从导览角度看；楚简有助于把楚文化从审美印象转到制度与表达方式上；看完它再去看越王勾践剑或漆木器；更容易建立完整语境,它把制度表达、知识留存与行政信息传递的历史机制具体呈现出来。,文字书写本身、简牍排列与编联方式都具有独特的形式感与观看趣味。,楚简让楚文化不仅停留在器物气质上，也进入语言、制度与思想记录的层面。,狭长简片、成组编联、文字纵列,简片、编绳、书写痕迹、成列结构,知识留存、制度表达、思想记录,"文字,楚文化,文献感,克制","竹褐,深墨,旧黄",不是装饰性文物却很有信息密度；能把楚文化从审美拉到制度与表达；很适合做转折点展品,楚国书写者,楚地制度与文化传播,"越王勾践剑,楚式漆器,楚式玉佩","楚简,竹木,书写,文字肌理,楚辞感",当一枚枚简片排开，楚文化开始从器物走向文字与思想。,以楚简为视觉核心，强调竹木材质、编联结构、书写痕迹和楚文化文献气质，适合书签或文创海报。,"楚简,文字,楚文化,记录",1,82,5,https://img.cjyun.org/a/10695/202301/f44cbb3a12f5dfb9b26a7759092e09e9.jpeg
chu_culture,楚式玉佩,chu_yupei,战国,战国中晚期,饰件/礼饰,玉佩,玉,琢磨与穿系,佩饰与身份表达,它适合把楚文化里的审美气质和身份表达落到一件更轻盈的器物上。,先看它的轮廓是不是显得轻巧；再留意它不是单纯装饰，而和身份、身体呈现有关；可以注意它和青铜礼器给人的感觉为什么不同。,它适合作为楚文化展区里的补充点；在看过文字和大器物之后，它能把注意力引到身体装饰与审美表达上。,先看轮廓是否轻巧；再看它与身体佩戴的关系；注意它和青铜礼器的气质差异,它适合作为楚文化展区里的补充点；能把注意力引到身体装饰与审美表达；显示楚文化更细腻的一面,它的价值不在体量；而在于把楚文化里更贴近个人的一面带了出来,可以把它想成古人佩戴在身上的重要小东西；虽然不大；但很能代表气质和讲究,从路线节奏上看；楚式玉佩有助于让楚文化展区不只停留在宏观印象；而能落到更具体的身体感和审美感上,它让身份表达与身体装饰进入历史叙事，使楚文化不只呈现国家层面，也呈现个人层面。,玉器的轮廓、触感想象与穿系结构共同构成轻盈而克制的审美。,它体现了楚文化在礼制之外，仍有对身体装饰、气质呈现与细节讲究的追求。,轮廓轻巧、适合佩戴、强调流线感,穿孔、轮廓线、玉质边缘、佩系结构,身份表达、身体美感、细腻审美,"玉器,轻盈,佩饰,楚风细腻","温白,青白,浅灰",体量不大却很能代表气质；适合与楚简和漆器形成更柔和的楚文化线索；观看重点在佩戴感,楚地贵族,战国楚地礼饰文化,"楚简,楚式漆器","玉佩,流线,佩饰,温润,楚风",一枚玉佩，把楚文化里轻盈、细腻又讲究的一面轻轻带出来。,以楚式玉佩为核心图形，突出玉质温润、轻盈轮廓与佩饰感，适合首饰或明信片视觉。,"楚式玉佩,玉器,楚文化,佩饰",1,74,4,
goujian_sword,越王勾践剑,goujian_jian,春秋晚期,春秋晚期,兵器,剑,青铜,复合铸造与装饰处理,兵器与王权象征,它把兵器工艺、王权象征和明星文物效应集中在同一件展品上，是非常适合建立记忆点的对象。,先看剑身整体线条是否仍显得利落；再留意它并不只是武器，也是一件极讲究形制与装饰感的器物；把注意力放在“精致”而不只是“锋利”。,它适合作为很多观众的兴趣入口；从它出发，可以继续连到青铜器工艺、楚文化身份和王权象征。,先看剑身线条是否利落；再看它不仅是武器；也很讲究形制与装饰感；注意精致而不只是锋利,它适合作为很多观众的兴趣入口；能继续连到青铜器工艺、楚文化身份和王权象征；适合建立强记忆点,大多数人先记住的是名字；真正值得看的是它如何把武器做得既有力量感又有精致度,可以把它想成古人同时在追求实用和面子的作品；既要像兵器；也要能代表身份,它之所以适合做专题；不只是因为知名；还因为能把单件明星文物和更大的历史叙事连接起来；看完它再去看青铜器或楚简；更容易放回整体语境,它把兵器、王权、国家形象和时代竞争放在同一件器物上，极适合做历史叙事的入口。,剑身线条、装饰处理与整体比例共同构成一种兼具力量感与精致感的美学。,它说明在古代，兵器不仅承担实用功能，也承载身份展示与政治象征。,线条修长、锋利感强、整体比例克制,剑格、剑首、剑身纹饰、对称线条,王权、力量、精致工艺、国家记忆,"名剑,力量感,精致,传奇","冷青铜,墨黑,鎏金点缀",几乎人人都记得名字；但真正耐看的是精致工艺；很适合作为进入其他展品的入口,越王勾践,春秋争霸,"青铜戈,铜鼎,楚简","名剑,青铜锋芒,王权,纹样,传奇",一柄名剑，不只锋利，更把权力、工艺与传奇同时握在手里。,以越王勾践剑为核心，突出修长剑身、青铜冷光、王权象征与精致纹饰，适合海报与壁纸。,"越王勾践剑,兵器,王权,楚文化",1,98,7,https://img.cjyun.org/a/10695/202301/53f0b54ce72ae5488e2444f4f0b9965d.jpeg
bronze,铜鼎,tong_ding,先秦,先秦,礼器,鼎,青铜,铸造,祭祀与礼仪相关器用,它能帮助你把青铜器从“材质厉害”进一步理解成“制度和使用场景都很重要”的历史器物。,先看鼎的整体器形是否稳定厚重；再想它为什么会成为很多人一提到青铜器就想到的代表；注意它的庄重感来自形制本身。,铜鼎常被作为礼器体系的重要一环；和编钟、尊盘连看时，更容易看到礼乐与礼器之间的互相支撑。,先看整体器形是否稳定厚重；再想它为什么是青铜器的代表；注意庄重感来自形制本身,它常被作为礼器体系的重要一环；和编钟、尊盘连看更容易看到礼乐与礼器的互相支撑；适合做青铜展区中轴对象,它最有意思的地方在于；外形稳重感不是偶然；而是在不断重复一种和秩序有关的器物语言,可以把它看成古人正式场合里很重要的大器物；不一定最灵巧；但很能体现分量和规制,从叙事上看；铜鼎适合放在青铜器展区做中轴式展品；能把工艺、礼制和器形观念往一起收束,它让礼制、祭祀与制度秩序通过最典型的青铜器形被观看和理解。,鼎的稳定比例、厚重轮廓与器足结构形成极强的庄重感。,它是很多人理解古代礼器体系的入口，背后连着秩序、规制和场合意识。,器形稳定、腹部厚重、三足或多足支撑,鼎耳、鼎腹、鼎足、口沿,礼制、秩序、稳重、制度感,"青铜,庄重,中轴感,礼制","古铜,深绿,土褐",很多人一想到青铜器就会想到鼎；它适合作为礼制理解的抓手；器形本身就有秩序语言,先秦贵族,祭祀礼制,"曾侯乙编钟,青铜尊盘,青铜戈","铜鼎,礼制,中轴,厚重,青铜纹理",一只铜鼎，把青铜器从材质想象推进到礼制与秩序的真实场景。,以铜鼎为核心造型，突出厚重器形、庄重气质、青铜纹理与礼制氛围。,"铜鼎,礼器,青铜,礼制",1,88,6,
bronze,青铜戈,tong_ge,先秦,先秦,兵器,戈,青铜,铸造与刃部处理,作战与身份象征,它适合把青铜器展区从礼器方向稍微拉向兵器方向，帮助你看到同一种材质在不同用途上的变化。,先看它的线条是不是更直接、更强调功能；再想它和礼器相比为什么会给人更紧张的感觉；不要只把它当成一件普通兵器。,它适合和越王勾践剑、铜鼎连着看；这样更容易看出青铜既能做礼器，也能承担兵器功能。,先看线条更直接更强调功能；再想它和礼器相比为何更紧张；不要只当成普通兵器,它适合和越王勾践剑、铜鼎连着看；更容易看出青铜既能做礼器也能承担兵器功能；补足青铜展区横向对照,它的价值不只在兵器身份；还在于帮助你理解青铜工艺如何服务于不同场景,可以把它想成更接近战场和力量感的一类青铜器；和庄重礼器比起来；气质很不一样,从导览角度看；青铜戈很适合补足青铜器展区的横向对照；当你已经看过铜鼎后；再看它更容易意识到同样是青铜为什么会长成不同样子,它让兵器与身份象征进入青铜叙事，帮助理解战争与权力如何改变器物面貌。,线条更直接、功能感更强，但依旧能在比例与刃部处理上体现审美判断。,它说明同一种材质并不只有一种文明用途，礼器与兵器都可成为时代表达。,线条直接、刃部明显、功能导向强,戈身、刃部、援、内、锋线,力量、战争、身份、功能性,"兵器,力量,冷峻,青铜对照","冷青铜,深灰,暗绿",和铜鼎对照尤其明显；适合说明同材质不同用途；看点在功能感和紧张感,先秦武士,先秦战争,"越王勾践剑,铜鼎","青铜戈,锋线,战争,力量,冷感",同样是青铜，做成礼器是秩序，做成兵器就是力量。,以青铜戈为核心元素，强调锋线、冷峻感、兵器结构与青铜器功能对照。,"青铜戈,兵器,青铜,工艺对照",1,78,5,
lacquer,楚式漆器,chu_lacquer,战国,战国中晚期,漆木器,楚式漆器,木胎与漆层,髹漆与装饰,生活器用与审美表达,它能让你从厚重礼器走向更贴近生活与审美层面的观察，补足参观后段的细腻体验。,先看器物表面的色彩与质感；再留意它和青铜器相比给人的感觉为何更轻、更贴近日常；注意生活器物同样能承载审美表达。,楚式漆器很适合作为后段展品；在看过礼器和兵器后，它能把注意力转向生活方式和工艺美感。,先看表面的色彩与质感；再看它和青铜器相比为何更轻更日常；注意生活器物同样能承载审美,它很适合作为后段展品；在看过礼器和兵器后；能把注意力转向生活方式和工艺美感；帮助路线收束,它并不靠体量取胜；更像是靠细腻、轻盈和表面处理把人留住,可以把它想成古人生活里既要实用又要好看的器物；比起庄重大器；更容易让人想到日常场景,从导览节奏上看；楚式漆器适合放在路线后段；让你把前面建立起的历史感收束到更可感的生活细节上,它把古人的生活场景、器用习惯和工艺技术放回到日常层面来理解。,色彩、漆层光泽与表面处理是观看重点，细腻感强于体量感。,它说明审美不只存在于礼器和兵器，也存在于生活器物的表面与手感想象中。,器形轻盈、表面平滑、重在色彩与质感,漆层、器壁、色彩层次、边缘处理,生活美学、细腻审美、日常器用,"漆器,轻盈,细腻,生活美学","朱红,黑漆,暗金",很适合路线后段观看；从庄重转向细腻；表面处理比体量更重要,楚地工匠,楚地生活美学,"漆木豆,楚简,楚式玉佩","漆器,朱红,黑漆,生活美学,楚风",当漆器出现，历史不再只剩制度，也开始带出生活与审美的温度。,以楚式漆器为主视觉，突出朱黑配色、漆层光泽、轻盈器形与楚文化生活审美。,"漆器,生活审美,楚文化,工艺",1,80,5,
lacquer,漆木豆,qi_mu_dou,战国,战国中晚期,生活器用,豆,木胎与漆层,髹漆成型,盛放与陈设,它适合补充你对古人日常器用的理解，让展区不只停留在“精美”，还更接近使用场景。,先看它的器形是否显得轻巧；再想它在生活场景里可能如何被使用；可以和楚式漆器一起比较观察。,它适合作为漆木器展区中的补充点，让你从一件代表作延伸到一类器用系统。,先看器形是否轻巧；再想它在生活场景里如何使用；可以和楚式漆器一起比较,它适合作为漆木器展区中的补充点；让你从代表作延伸到一类器用系统；更接近日常生活,看它时不妨问自己古人为什么要把日常用具也做得这么讲究,可以把它想成古人餐桌或礼仪场合里的器具；虽然不如明星文物有名；但更接近日常生活,它有助于把漆木器展区从单件观赏拉到器用结构和生活美学层面；和楚式漆器连看时更完整,它让日常器用也进入历史视野，说明生活细节同样是时代文化的重要部分。,器形轻巧、比例灵活，漆层处理使普通器用也拥有可观看的表面美感。,它提醒参观者，古人的审美不是只留给大器物，也进入餐桌、陈设和生活动作。,轻巧器形、承托结构明显、适合盛放,豆盘、承托、漆层、边缘轮廓,日常讲究、生活秩序、器用美感,"日常器用,轻巧,漆木,生活感","黑漆,朱红,木褐",不是明星文物却很有生活感；适合作为漆器展区补充；能把观看从单件拉到系统,楚地日常使用者,战国生活器用,楚式漆器,"漆木豆,器用,日常,轻巧,餐桌美学",一件漆木豆，让古人的生活场景从“精美”真正落到“可想象的日常”。,以漆木豆为核心造型，突出轻巧轮廓、朱黑配色与生活器具的温和气质。,"漆木豆,生活器具,漆木器",1,68,4,
zenghouyi,曾侯乙编磬,bianqing,战国,战国早期,乐器/礼器,编磬,石/木,打磨、成组编悬与礼乐配置,礼乐演奏与等级场合配套,它让你意识到古代礼乐不是一件器物，而是一整套彼此配合的系统。,可以先把它和编钟放在一起看：一个偏青铜，一个偏石质，但都服务于正式场合中的秩序化声音表达。它的价值不在“响不响”，而在成组配置如何共同构成礼乐场域。,它把礼乐制度的“系统性”补得更完整，让观众不只记住编钟，也理解整套乐悬结构。,先看成组排列；再看它和编钟在视觉气质上的差异；注意成套配置。,它像礼乐系统里的另一组声部；和编钟一起才更像完整的古代音乐装置。,注意片体形状、悬挂方式和整组节奏；观看时重在“系统感”。,可以把它想成和编钟一起演奏的另一套古代乐器。,它把礼乐配置、材质差异与声音分工一起带进观看中。,它补充了先秦礼乐系统的多件成组配置逻辑。,扁平片体与成组悬挂形成克制而清晰的节奏美。,它说明礼乐文明强调的不只是声音本身，还有秩序化的场合表达。,成组悬挂、片体扁平、节奏分布,磬体轮廓、悬挂结构、成组节奏,礼乐秩序、等级配置、声音仪式,"礼乐,节奏感,成组观看,庄重","石灰,木褐,古铜",很适合和编钟连看；能把礼乐系统从单一明星文物扩展到整套声音装置。,曾侯乙,先秦礼乐文明,"曾侯乙编钟,青铜尊盘,铜鼎","编磬,石质节奏,礼乐秩序,编悬,楚韵",一组编磬，把礼乐系统里的另一重节奏静静补齐。,以曾侯乙编磬为核心，突出成组悬挂、石质片体、礼乐秩序和与编钟并置的节奏感。,"编磬,礼乐,曾侯乙,楚文化,成组乐器",1,90,5,
