source_type,source_code,target_type,target_code,relation_type,relation_summary,strength_score
exhibit,bianzhong,exhibit,zunpan,same_theme,二者都能体现礼乐文明与高等级器用传统，适合连看。,0.92
exhibit,bianzhong,exhibit,tong_ding,background_for,编钟先把礼乐制度立起来，再看铜鼎会更容易理解礼器体系的稳定结构。,0.83
exhibit,bianzhong,exhibit,goujian_jian,contrast,一个更强调礼乐文明，一个更突出兵器工艺与王权象征，适合做对照观看。,0.76
exhibit,zunpan,exhibit,tong_ding,same_craft,二者都能帮助你从铸造、器形和礼器用途上观察青铜工艺的成熟度。,0.79
exhibit,goujian_jian,exhibit,tong_ding,contrast,一个偏兵器，一个偏礼器，有助于理解权力表达与礼制表达的不同侧面。,0.74
exhibit,goujian_jian,exhibit,chu_jian,background_for,看完名剑再看楚简，能从武器与文字两个角度理解楚国政治与文化表达。,0.68
exhibit,goujian_jian,exhibit,tong_ge,same_craft,从越王勾践剑再看青铜戈，更容易把明星兵器放回更普遍的兵器工艺谱系里。,0.78
exhibit,chu_jian,exhibit,chu_lacquer,same_theme,一个体现文字记录，一个体现生活审美，连看能把楚文化讲得更完整。,0.71
exhibit,chu_jian,exhibit,chu_yupei,same_theme,一个偏文字表达，一个偏身体装饰与身份表达，连看更容易把楚文化从制度写法扩展到审美气质。,0.73
exhibit,tong_ding,exhibit,chu_lacquer,contrast,从厚重礼器转向轻巧漆木器，能看到不同材质背后的生活与审美差异。,0.72
exhibit,tong_ding,exhibit,tong_ge,same_material,二者都属于青铜器，但一个偏礼器、一个偏兵器，适合在同材质下做用途对照。,0.77
exhibit,chu_lacquer,exhibit,qi_mu_dou,same_theme,一个更像代表作，一个更接近日常器用，连看能把漆木器展区讲得更完整。,0.86
exhibit,chu_yupei,exhibit,chu_lacquer,same_theme,一个强调佩饰与身体审美，一个强调生活器用与表面工艺，适合连着看楚文化的细腻一面。,0.69
hall,zenghouyi,hall,chu_culture,route_next,先看曾侯乙再看楚文化，更容易从礼乐文明过渡到地域文化理解。,0.88
hall,zenghouyi,hall,bronze,thematic,如果你想把曾侯乙展区里的礼器和乐器放回更大的青铜谱系里理解，下一步进入青铜器展区会更顺。,0.74
hall,chu_culture,hall,goujian_sword,route_next,在建立楚文化整体印象后再进入名剑专题，更容易理解它不只是“好看”，也与王权和文化身份相关。,0.84
hall,chu_culture,hall,bronze,route_next,楚文化之后进入青铜器展区，有助于继续理解器物工艺与时代发展。,0.81
hall,chu_culture,hall,lacquer,route_next,如果你更想从地域文化直接转向生活与审美表达，楚文化之后进入漆木器展区也很自然。,0.78
hall,goujian_sword,hall,bronze,route_next,名剑专题之后进入青铜器展区，可把单件明星文物放回更大的工艺谱系中理解。,0.77
hall,goujian_sword,hall,lacquer,contrast,先看兵器与王权的力量感，再进入漆木器展区，会形成从紧张到细腻的观看反差。,0.66
hall,bronze,hall,lacquer,route_next,青铜器之后进入漆木器展区，可以从礼器工艺延伸到生活器物与审美表达。,0.79
exhibit,zunpan,exhibit,bianqing,same_hall,二者同属曾侯乙线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,bianqing,exhibit,tong_jianfou,same_hall,二者同属曾侯乙线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,tong_jianfou,exhibit,jiangzuo_gu,same_hall,二者同属曾侯乙线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,jiangzuo_gu,exhibit,gai_dou,same_hall,二者同属曾侯乙线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,bianzhong,exhibit,gai_dou,same_hall,从曾侯乙编钟到曾侯乙青铜盖豆，能把曾侯乙从核心看点延伸到补充层次。,0.63
exhibit,chu_yupei,exhibit,huzuo_niaojia_gu,same_hall,二者同属楚文化线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,huzuo_niaojia_gu,exhibit,mu_diao_zuoping,same_hall,二者同属楚文化线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,mu_diao_zuoping,exhibit,zhenmushou,same_hall,二者同属楚文化线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,zhenmushou,exhibit,fengwen_qihe,same_hall,二者同属楚文化线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,chu_jian,exhibit,fengwen_qihe,same_hall,从楚简到凤纹漆盒，能把楚文化从核心看点延伸到补充层次。,0.63
exhibit,goujian_jian,exhibit,tong_mao,same_hall,二者同属越王勾践剑专题线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,tong_mao,exhibit,tong_ji,same_hall,二者同属越王勾践剑专题线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,tong_ji,exhibit,jian_ge,same_hall,二者同属越王勾践剑专题线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,jian_ge,exhibit,jian_zu,same_hall,二者同属越王勾践剑专题线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,goujian_jian,exhibit,jian_zu,same_hall,从越王勾践剑到青铜箭镞，能把越王勾践剑专题从核心看点延伸到补充层次。,0.63
exhibit,tong_ge,exhibit,tong_gui,same_hall,二者同属青铜器线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,tong_gui,exhibit,tong_hu,same_hall,二者同属青铜器线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,tong_hu,exhibit,tong_lei,same_hall,二者同属青铜器线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,tong_lei,exhibit,tong_yan,same_hall,二者同属青铜器线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,tong_ding,exhibit,tong_yan,same_hall,从铜鼎到青铜甗，能把青铜器从核心看点延伸到补充层次。,0.63
exhibit,qi_mu_dou,exhibit,qi_erbei,same_hall,二者同属漆木器线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,qi_erbei,exhibit,qi_pan,same_hall,二者同属漆木器线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,qi_pan,exhibit,qi_lian,same_hall,二者同属漆木器线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,qi_lian,exhibit,qi_shao,same_hall,二者同属漆木器线索，适合前后连看以建立该馆区的整体语境。,0.72
exhibit,chu_lacquer,exhibit,qi_shao,same_hall,从楚式漆器到漆勺，能把漆木器从核心看点延伸到补充层次。,0.63
exhibit,bianqing,exhibit,bianzhong,same_theme,编磬与编钟共同组成礼乐系统，适合并置理解声音秩序。,0.91
exhibit,tong_jianfou,exhibit,zunpan,same_theme,二者都能把贵族礼仪生活的器用场景看得更具体。,0.80
exhibit,jiangzuo_gu,exhibit,bianzhong,background_for,建鼓座让编钟不只是一件器物，而更像礼乐场域中的一部分。,0.76
exhibit,gai_dou,exhibit,zunpan,background_for,从盖豆再看尊盘，更容易把宴飨礼器的细部层级补齐。,0.71
exhibit,huzuo_niaojia_gu,exhibit,chu_lacquer,same_theme,一个偏礼乐装置，一个偏生活器用，但都能体现强烈的楚地造型与色彩审美。,0.79
exhibit,huzuo_niaojia_gu,exhibit,zhenmushou,same_theme,二者都能把楚文化浪漫、神秘、富于想象力的一面直接立起来。,0.84
exhibit,mu_diao_zuoping,exhibit,fengwen_qihe,same_theme,一个强调空间陈设，一个强调生活收纳，连看能把楚地居室审美讲得更完整。,0.73
exhibit,zhenmushou,exhibit,chu_jian,contrast,一个通向神秘想象，一个通向制度文字，正好展示楚文化的两面。,0.70
exhibit,fengwen_qihe,exhibit,chu_yupei,same_theme,一个是小器物纹样美，一个是身体佩饰之美，适合形成楚文化细腻线索。,0.74
exhibit,tong_mao,exhibit,jian_zu,background_for,从长兵器到箭镞，能把战国军备从单兵到成套系统串起来。,0.69
exhibit,jian_ge,exhibit,goujian_jian,background_for,剑格饰件能把名剑的精致感下沉到细部工艺层面。,0.81
exhibit,tong_ji,exhibit,tong_ge,same_craft,戟与戈都体现兵器功能导向下的青铜结构逻辑。,0.77
exhibit,tong_gui,exhibit,tong_ding,same_theme,簋与鼎共同构成理解礼器系统最基础的器类组合。,0.84
exhibit,tong_hu,exhibit,zunpan,same_theme,从壶到尊盘，能把宴飨器用系统讲得更完整。,0.75
exhibit,tong_lei,exhibit,tong_hu,same_theme,二者都属于酒器线索，但一个更厚重，一个更偏流线器用。,0.72
exhibit,tong_yan,exhibit,tong_gui,background_for,从甗到簋，能把饮食器用和礼器秩序结合起来理解。,0.71
