exhibit_code,cover_image_url,detail_image_url_1,detail_image_url_2,image_caption,source_name,source_url,copyright_note,audio_script,graph_summary
bianzhong,https://img.cjyun.org/a/10695/202301/49305c4acb6e8b6b2f4bcdf04097ff0a.jpeg,,,曾侯乙编钟主视图，适合展示成组悬挂、层级结构与青铜礼乐系统的整体气势。,湖北省博物馆官网,https://m-www.hbkgy.com/p/4695.html,展示前请再次确认图片来源与使用权限。,你现在看到的是曾侯乙编钟。它最值得看的地方，不只是“会发声”，而是整组编钟把礼乐制度、身份等级和青铜工艺一起摆在你面前。你可以先看它层层展开的悬挂结构，再看大小不同的钟体怎么形成秩序感。它像一套古代大型音乐系统，也是理解曾侯乙展区最合适的入口之一。,关联礼乐制度、曾侯乙、青铜礼器与先秦身份秩序；适合与青铜尊盘、铜鼎连看。
zunpan,https://img.cjyun.org/a/10695/202301/60743a1577e55244beec5481b9b34cfa.jpeg,,,青铜尊盘组合器形主视图，重点展示尊与盘之间的复合结构、体量感与礼仪气氛。,湖北省博物馆官网,https://m-www.hbkgy.com/p/6911.html,展示前请再次确认图片来源与使用权限。,这件青铜尊盘适合和编钟、铜鼎一起看。你可以先看尊和盘是怎么组合在一起的，再注意它不是普通容器，而是带着礼仪意味的器物。它真正有意思的地方，在于器形本身就把宴飨、身份和礼制秩序做了出来。看懂它，你对礼乐文明里的器物系统会更有整体感。,关联礼器系统、宴飨场景、青铜复合器形与战国礼仪生活；适合连接曾侯乙编钟、铜鼎。
chu_jian,https://img.cjyun.org/a/10695/202301/f44cbb3a12f5dfb9b26a7759092e09e9.jpeg,,,楚简成组编联图，适合突出简片排列、编绳结构与文字书写痕迹。,湖北省博物馆官网,https://m-www.hbkgy.com/p/5369.html,展示前请再次确认图片来源与使用权限。,你现在看到的是楚简。它不像青铜器那样一下子就抓住人，但信息密度很高。你可以先看它狭长的简片和成组编联的结构，再把注意力放到书写痕迹上。它让楚文化不只停留在器物风格，还进入了文字、制度和思想记录的层面，是理解楚文化很重要的一个转折点。,关联楚文化、文字记录、制度表达与竹木简牍；适合连接越王勾践剑、楚式漆器、楚式玉佩。
chu_yupei,https://img.cjyun.org.cn/a/10695/202404/a7b3a87e67cdc7b067c00706513754f7.jpeg,,,楚式玉佩主视图，适合展示轻巧轮廓、穿孔结构与温润玉质。,湖北省博物馆官网（同类玉佩图暂代）,https://m-www.hbkgy.com/p/5180.html,主图链接引自湖北省博物馆公开页面；当前先用同类玉佩公开图暂代，正式展示前请再次核对是否为同一件文物及图片使用权限。,这件楚式玉佩的看点不在体量，而在气质。你可以先看它轻巧的轮廓和适合佩戴的结构，再想它为什么会和身份表达联系在一起。它把楚文化里更细腻、更贴近个人的一面带了出来。和楚简、楚式漆器连着看，你会更容易感受到楚文化不只宏大，也很讲究身体和日常的审美。,关联佩饰、身份表达、身体审美与楚风细腻气质；适合连接楚简、楚式漆器。
goujian_jian,https://img.cjyun.org/a/10695/202301/53f0b54ce72ae5488e2444f4f0b9965d.jpeg,,,越王勾践剑主视图，适合展示修长剑身、对称线条与青铜兵器的精致感。,湖北省博物馆官网,https://m-www.hbkgy.com/p/4694.html,展示前请再次确认图片来源与使用权限。,你现在看到的是越王勾践剑。很多人先记住它的名字，但真正耐看的地方，是它既有兵器的力量感，又有非常克制的精致感。你可以先看剑身线条和整体比例，再注意它不是单纯的武器，也是一件承载王权象征的器物。它很适合做这一站的入口，因为从它出发，很容易继续理解青铜兵器、楚文化和权力表达之间的关系。,关联王权、兵器工艺、春秋争霸、青铜兵器谱系；适合连接青铜戈、铜鼎、楚简。
tong_ding,https://img.cjyun.org.cn/a/10695/202404/27a4cad5bc7c1bd3de3c34cc0f6e25ec.jpeg,,,铜鼎正视图，适合展示厚重腹部、鼎足结构与典型礼器形制。,湖北省博物馆官网,https://hbsbwg.cjyun.org/qtq/p/5078.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,铜鼎很适合帮你把青铜器从“材质厉害”看成“制度器物”。你可以先看它稳定厚重的器形，再注意它为什么会让人天然联想到庄重和规制。它真正重要的地方，不只是有名，而是把礼制、祭祀和秩序感都压进了最典型的青铜器形里。和编钟、尊盘一起看，会更容易建立礼器体系的整体感。,关联礼制、祭祀、青铜礼器与中轴式器形；适合连接曾侯乙编钟、青铜尊盘、青铜戈。
tong_ge,https://img.cjyun.org/a/10695/202301/fd89857ab8c5e3fe087008be0595261c.jpeg,,,青铜戈主视图，适合展示锋线、援内结构与兵器的功能感。,湖北省博物馆官网,https://m-www.hbkgy.com/p/5490.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,这件青铜戈适合放在青铜器展区里做对照来看。你可以先看它更直接、更强调功能的线条，再和铜鼎那种庄重礼器的气质比较一下。它有意思的地方就在这里：同样是青铜，做成礼器是秩序，做成兵器就是力量。看懂它，你会更容易理解材质、工艺和用途之间的差异。,关联兵器功能、战争与身份象征、青铜用途对照；适合连接越王勾践剑、铜鼎。
chu_lacquer,https://img.cjyun.org/a/10695/202301/4818ccaa77d825b0330149fc5c91662b.jpeg,,,楚式漆器主视图，适合展示朱黑配色、漆层光泽与轻盈器形。,湖北省博物馆官网（同类楚式漆器图暂代）,https://m-www.hbkgy.com/p/5483.html,主图链接引自湖北省博物馆公开页面；当前先用同类楚式漆器公开图暂代，正式展示前请再次核对是否为同一件文物及图片使用权限。,楚式漆器最适合放在路线后段来看。前面看过礼器和兵器之后，你会更容易感受到它的轻盈和细腻。你可以先看表面的色彩和光泽，再体会它为什么比青铜器更贴近日常生活。它让历史不只剩下制度和权力，也开始带出生活方式和审美趣味的温度。,关联楚地生活美学、漆层工艺、朱黑配色与日常器用审美；适合连接漆木豆、楚简、楚式玉佩。
qi_mu_dou,https://img.cjyun.org.cn/a/10695/202404/acb411825506e5e93d581ca669c2b46d.jpeg,,,漆木豆主视图，适合展示轻巧器形、承托结构与生活器用特征。,湖北省博物馆官网,https://m-www.hbkgy.com/p/4974.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,这件漆木豆虽然不是最有名的文物，但它很接近日常生活。你可以先看它轻巧的器形，再想想古人为什么会把普通器用也做得这么讲究。它的意义在于把观看从“单件精美文物”拉回到“真实生活场景”。和楚式漆器一起看，会更容易形成一整类漆木器的认识。,关联日常器用、生活秩序与漆木器系统；适合连接楚式漆器。
bianqing,https://lh3.googleusercontent.com/ci/AL18g_Q-iejzX_M0_BhKx1IFshdCu7o91hlfc-mSMl5JmNlo7jJZN7NEBTo69SSm6rl5JWqrLEhJDA,,,曾侯乙编磬主视图，适合展示成组悬挂、片体扁平、节奏分布与石/木材质特点。,Google Arts & Culture（湖北省博物馆）,https://artsandculture.google.com/asset/chime-stones-of-zeng-hou-yi/DAF7RRRbfctGxw?hl=zh-cn,主图链接引自 Google Arts & Culture 的湖北省博物馆公开藏品页；正式展示前请再次确认图片来源与使用权限。,你现在看到的是曾侯乙编磬。它让你意识到古代礼乐不是一件器物，而是一整套彼此配合的系统。可以先把它和编钟放在一起看：一个偏青铜，一个偏石质，但都服务于正式场合中的秩序化声音表达。它的价值不在“响不响”，而在成组配置如何共同构成礼乐场域。,"关联礼乐秩序、等级配置、声音仪式；适合连接曾侯乙编钟,青铜尊盘,铜鼎。"
