hall_code,name,code,era,category,is_featured,recommended_priority,image_url,raw_notes
zenghouyi,曾侯乙编钟,bianzhong,战国,乐器/礼器,1,100,https://img.cjyun.org/a/10695/202301/49305c4acb6e8b6b2f4bcdf04097ff0a.jpeg,"它能把先秦礼乐文明从抽象概念变成你能直接感受到的器物；既是乐器也是制度的可视化表达；看点在成组系统；视觉上；适合连接青铜尊盘,铜鼎,越王勾践剑"
zenghouyi,青铜尊盘,zunpan,战国,礼器,1,92,https://img.cjyun.org/a/10695/202301/60743a1577e55244beec5481b9b34cfa.jpeg,"它能把抽象的礼仪生活转化成你可以观察的器形与工艺细节；尊与盘的关系本身就是看点；兼具体量感和细节感；适合与；适合连接曾侯乙编钟,铜鼎"
chu_culture,楚简,chu_jian,战国,文字资料,1,82,https://img.cjyun.org/a/10695/202301/f44cbb3a12f5dfb9b26a7759092e09e9.jpeg,"它能把楚文化从“器物风格”进一步推进到“文字表达与思；不是装饰性文物却很有信息密度；能把楚文化从审美拉到制；适合连接越王勾践剑,楚式漆器,楚式玉佩"
chu_culture,楚式玉佩,chu_yupei,战国,饰件/礼饰,1,74,,"它适合把楚文化里的审美气质和身份表达落到一件更轻盈的；体量不大却很能代表气质；适合与楚简和漆器形成更柔和的；适合连接楚简,楚式漆器"
goujian_sword,越王勾践剑,goujian_jian,春秋晚期,兵器,1,98,https://img.cjyun.org/a/10695/202301/53f0b54ce72ae5488e2444f4f0b9965d.jpeg,"它把兵器工艺、王权象征和明星文物效应集中在同一件展品；几乎人人都记得名字；但真正耐看的是精致工艺；很适合作；适合连接青铜戈,铜鼎,楚简"
bronze,铜鼎,tong_ding,先秦,礼器,1,88,,"它能帮助你把青铜器从“材质厉害”进一步理解成“制度和；很多人一想到青铜器就会想到鼎；它适合作为礼制理解的抓；适合连接曾侯乙编钟,青铜尊盘,青铜戈"
bronze,青铜戈,tong_ge,先秦,兵器,1,78,,"它适合把青铜器展区从礼器方向稍微拉向兵器方向，帮助你；和铜鼎对照尤其明显；适合说明同材质不同用途；看点在功；适合连接越王勾践剑,铜鼎"
lacquer,楚式漆器,chu_lacquer,战国,漆木器,1,80,,"它能让你从厚重礼器走向更贴近生活与审美层面的观察，补；很适合路线后段观看；从庄重转向细腻；表面处理比体量更；适合连接漆木豆,楚简,楚式玉佩"
lacquer,漆木豆,qi_mu_dou,战国,生活器用,1,68,,它适合补充你对古人日常器用的理解，让展区不只停留在“；不是明星文物却很有生活感；适合作为漆器展区补充；能把；适合连接楚式漆器
zenghouyi,曾侯乙编磬,bianqing,战国,乐器/礼器,1,90,,"它让你意识到古代礼乐不是一件器物，而是一整套彼此配合；很适合和编钟连看；能把礼乐系统从单一明星文物扩展到整；适合连接曾侯乙编钟,青铜尊盘,铜鼎"
zenghouyi,曾侯乙铜鉴缶,tong_jianfou,战国,礼器/生活器,1,84,,"它把礼仪场合中的生活器用做成了很有体量感的青铜器。；它既有礼器气质，又带着生活器用的场景感，能把贵族生活；适合连接青铜尊盘,曾侯乙编钟,铜鼎"
zenghouyi,曾侯乙建鼓座,jiangzuo_gu,战国,乐器/礼器,1,76,,"它把礼乐系统里的空间感和场域感补了出来。；它不一定最抢眼，但很能说明礼乐不是孤立器物，而是完整；适合连接曾侯乙编钟,曾侯乙编磬,青铜尊盘"
zenghouyi,曾侯乙青铜盖豆,gai_dou,战国,礼器,1,72,,"它让礼器系统从宏大器物落到更细致的宴飨器用。；它体量不算最大，但很适合把礼器系统从“大件”细化到更；适合连接青铜尊盘,铜鼎,曾侯乙编钟"
chu_culture,虎座鸟架鼓,huzuo_niaojia_gu,战国,礼乐/雕塑,1,95,,"它让楚文化不只停留在文物名词，而是一下子有了神秘又鲜；它很抓眼球，特别适合把楚文化“浪漫、奇诡、会讲故事”；适合连接楚式漆器,楚简,楚式玉佩"
chu_culture,彩绘木雕小座屏,mu_diao_zuoping,战国,陈设/工艺,1,79,,"它把楚文化里的居住空间审美轻轻带了出来。；它能把古人的居住空间和日常审美想象得更具体，不只停留；适合连接楚式漆器,楚式玉佩,楚简"
chu_culture,楚式镇墓兽,zhenmushou,战国,雕塑/信仰,1,83,,"它让你看到楚文化并不只有审美细腻，也有很强的精神世界；它能把楚文化里偏神秘、偏想象的那条线一下子拉出来，很；适合连接楚简,虎座鸟架鼓,楚式玉佩"
chu_culture,凤纹漆盒,fengwen_qihe,战国,漆木器,1,75,,"它把楚文化的纹样美感和生活器用合在了一起。；它很适合补出楚文化里“把纹样做到生活器物上”的那种轻；适合连接楚式漆器,楚式玉佩,彩绘木雕小座屏"
goujian_sword,青铜矛,tong_mao,春秋战国,兵器,1,72,,"它让你把“名剑”重新放回更大的兵器系统里去理解。；它能把名剑的传奇感拉回更普遍的武备体系，让兵器专题不；适合连接越王勾践剑,青铜戈,铜鼎"
goujian_sword,青铜戟,tong_ji,春秋战国,兵器,1,70,,"它让兵器不只剩下单一锋线，而是出现更复杂的武器结构。；它结构更复杂，适合把兵器观看从“锋利”提升到“组合功；适合连接青铜矛,越王勾践剑,青铜戈"
goujian_sword,剑格饰件,jian_ge,春秋战国,兵器饰件,1,66,,"它把兵器的精致感从整剑进一步压缩到细部构件里。；它能提醒观众：兵器的“精致”往往藏在这些小构件里。；适合连接越王勾践剑,青铜矛,青铜戈"
goujian_sword,青铜箭镞,jian_zu,春秋战国,兵器,1,62,,"它把兵器观看从传奇个体拉回到成批制造的战争现实。；它小，但很能说明战争已经不仅是英雄对决，也和成套军备；适合连接青铜矛,青铜戟,越王勾践剑"
bronze,青铜簋,tong_gui,先秦,礼器,1,74,,"它让青铜礼器系统从鼎扩展到更完整的器类结构。；它很适合帮助观众建立“礼器不是只有鼎”的认知。；适合连接铜鼎,青铜尊盘,青铜壶"
bronze,青铜壶,tong_hu,先秦,礼器/酒器,1,71,,"它让宴飨场景不只停留在抽象礼仪，而出现更具体的酒器对；它能把礼器系统中的“饮”这条线补得更完整。；适合连接青铜尊盘,青铜簋,铜鼎"
bronze,青铜罍,tong_lei,先秦,礼器/酒器,1,69,,"它把商周礼仪场合中的酒器分量直接压到你面前。；它很有分量感，适合让观众感受到商周青铜酒器的“压场”；适合连接青铜壶,铜鼎,青铜尊盘"
bronze,青铜甗,tong_yan,先秦,礼器/炊器,1,67,,"它把青铜器观看从庄重礼器扩展到更具体的饮食器用结构。；它能让观众意识到古代礼制不只靠祭器酒器，也离不开饮食；适合连接铜鼎,青铜簋,青铜壶"
lacquer,彩绘漆耳杯,qi_erbei,战国,漆木器,1,77,,"它把楚地生活美学落到很具体、很可感的饮食动作里。；它很适合让人想象古代饮酒、宴坐这些更轻松的场景。；适合连接楚式漆器,凤纹漆盒,漆木豆"
lacquer,漆盘,qi_pan,战国,漆木器,1,65,,"它把生活器用的讲究落实到最日常、最基础的一类器具上。；它简单，但很适合建立“古人连放东西的器具都要做得讲究；适合连接漆木豆,彩绘漆耳杯,楚式漆器"
lacquer,漆奁,qi_lian,战国,漆木器,1,64,,"它让楚地生活美学从公共场景进一步落到个人收纳和居室细；它很适合把“个人生活的讲究”带到漆木器展区里。；适合连接凤纹漆盒,楚式玉佩,彩绘木雕小座屏"
lacquer,漆勺,qi_shao,战国,漆木器,1,58,,"它把古代生活真正落到了“手里正在做什么”这种细节上。；它虽小，却特别适合告诉观众：历史并不只由大件文物构成；适合连接漆盘,漆木豆,彩绘漆耳杯"
